consumer,error_number,errors
Gilmar Ito Correia,2,"[{'Order_id': 881, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 882, 'Product_id': 27, 'Product_name': 'camera canon'}]"
Carina Velho,3,"[{'Order_id': 883, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 884, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 885, 'Product_id': 29, 'Product_name': 'camera fotografica'}]"
Carina Paim Simões,5,"[{'Order_id': 886, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 887, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 888, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 889, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 890, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}]"
Janaína Damasceno Lima,5,"[{'Order_id': 892, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 893, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 895, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 896, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 897, 'Product_id': 70, 'Product_name': 'leite ninho'}]"
Adriano Quadros Lopes,1,"[{'Order_id': 898, 'Product_id': 22, 'Product_name': 'câmera'}]"
Heloísa Lopes,2,"[{'Order_id': 900, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 901, 'Product_id': 1, 'Product_name': 'battery'}]"
Nicolas Arruda,3,"[{'Order_id': 902, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 903, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 904, 'Product_id': 27, 'Product_name': 'camera canon'}]"
Carlos Falcão,1,"[{'Order_id': 906, 'Product_id': 32, 'Product_name': 'instax mini'}]"
Kléber da Silva,5,"[{'Order_id': 907, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 908, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 909, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 910, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 911, 'Product_id': 55, 'Product_name': 'mercado livre'}]"
Carlos Paschoal Carmo,2,"[{'Order_id': 912, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 913, 'Product_id': 30, 'Product_name': 'moto g9'}]"
Poliane Lobo,2,"[{'Order_id': 914, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 915, 'Product_id': 49, 'Product_name': 'whisky'}]"
Adriano da Cunha Ito,4,"[{'Order_id': 917, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 918, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 919, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 920, 'Product_id': 62, 'Product_name': 'carrefour'}]"
Nicolas Gimenes,2,"[{'Order_id': 921, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 922, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}]"
Heloísa Vargas da Cruz,4,"[{'Order_id': 923, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 924, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 925, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 926, 'Product_id': 5, 'Product_name': 'led lights'}]"
Nicole Farias Braz,2,"[{'Order_id': 927, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 929, 'Product_id': 13, 'Product_name': 'led strip'}]"
Fernando Medeiros Lopes,1,"[{'Order_id': 934, 'Product_id': 54, 'Product_name': 'vodka'}]"
Elaine Machado Nazário,5,"[{'Order_id': 935, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 936, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 938, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 940, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 941, 'Product_id': 65, 'Product_name': 'morango'}]"
Nicolas Lima,5,"[{'Order_id': 943, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 944, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 945, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 946, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 948, 'Product_id': 30, 'Product_name': 'moto g9'}]"
Janaína Lopes Arruda,4,"[{'Order_id': 949, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 950, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 951, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 952, 'Product_id': 8, 'Product_name': 'car battery'}]"
Carlos Paschoal Quadros,2,"[{'Order_id': 953, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 954, 'Product_id': 65, 'Product_name': 'morango'}]"
Carina Pedroso Vargas,2,"[{'Order_id': 957, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 959, 'Product_id': 67, 'Product_name': 'cortina para sala'}]"
Heloísa Oliveira Lobo,3,"[{'Order_id': 960, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 961, 'Product_id': 57, 'Product_name': 'dolce gusto'}, {'Order_id': 962, 'Product_id': 54, 'Product_name': 'vodka'}]"
Janaína da Cruz,1,"[{'Order_id': 964, 'Product_id': 30, 'Product_name': 'moto g9'}]"
Gilmar Machado,5,"[{'Order_id': 966, 'Product_id': 25, 'Product_name': 's20 fe'}, {'Order_id': 967, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 968, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 969, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 970, 'Product_id': 50, 'Product_name': 'gin'}]"
Fabiana de Salles Quadros,3,"[{'Order_id': 971, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 972, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 973, 'Product_id': 61, 'Product_name': 'pasta'}]"
Beatriz Gimenes Oliveira,6,"[{'Order_id': 974, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 975, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 976, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 978, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 979, 'Product_id': 58, 'Product_name': 'espumante'}, {'Order_id': 980, 'Product_id': 3, 'Product_name': 'batteries'}]"
Nicole Fraga Monteiro,3,"[{'Order_id': 983, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 984, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 985, 'Product_id': 63, 'Product_name': 'cafeteira'}]"
Carina da Cunha Simões,1,"[{'Order_id': 986, 'Product_id': 9, 'Product_name': 'fluke'}]"
Carlos Falcão,5,"[{'Order_id': 987, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 988, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 989, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 990, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 991, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Isabela Oliveira da Cunha,5,"[{'Order_id': 994, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 996, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 997, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 998, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 999, 'Product_id': 53, 'Product_name': 'jack daniels'}]"
Gilmar Silveira,5,"[{'Order_id': 1000, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 1001, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 1002, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 1003, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 1006, 'Product_id': 43, 'Product_name': 'moto g 10'}]"
Fernando Lima,4,"[{'Order_id': 1007, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 1008, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 1009, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 1011, 'Product_id': 23, 'Product_name': 'moto g10'}]"
Kléber Quadros Paim,4,"[{'Order_id': 1013, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 1015, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 1016, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 1017, 'Product_id': 60, 'Product_name': 'cacau show'}]"
Taís Falcão Correia,5,"[{'Order_id': 1019, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 1020, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 1022, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 1024, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 1025, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}]"
Beatriz Braga Lima,3,"[{'Order_id': 1026, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 1027, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1029, 'Product_id': 25, 'Product_name': 's20 fe'}]"
Antônio Paschoal,3,"[{'Order_id': 1030, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 1031, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 1032, 'Product_id': 36, 'Product_name': 'ipad'}]"
Fabiana da Silva,1,"[{'Order_id': 1033, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Janaína Lima,2,"[{'Order_id': 1034, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 1035, 'Product_id': 65, 'Product_name': 'morango'}]"
Beatriz Machado Falcão,6,"[{'Order_id': 1036, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 1037, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 1038, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 1039, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 1040, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 1041, 'Product_id': 16, 'Product_name': 'fichario'}]"
Valdomiro Pedroso Cavalcanti,2,"[{'Order_id': 1042, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 1043, 'Product_id': 70, 'Product_name': 'leite ninho'}]"
Émerson Damasceno,2,"[{'Order_id': 1044, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 1045, 'Product_id': 68, 'Product_name': 'açúcar'}]"
Kléber Lima,6,"[{'Order_id': 1047, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 1048, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 1049, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 1050, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 1051, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 1052, 'Product_id': 32, 'Product_name': 'instax mini'}]"
Janaína Farias Pacheco,7,"[{'Order_id': 1053, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 1054, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 1055, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 1056, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 1057, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 1058, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 1059, 'Product_id': 1, 'Product_name': 'battery'}]"
Isabela Ruiz,1,"[{'Order_id': 1060, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Rafael Correia,1,"[{'Order_id': 1061, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Elaine de Salles,6,"[{'Order_id': 1062, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 1063, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1064, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 1065, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 1067, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 1068, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Carina Nazário Quadros,4,"[{'Order_id': 1069, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 1071, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 1072, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 1073, 'Product_id': 30, 'Product_name': 'moto g9'}]"
Janaína Correia Lima,6,"[{'Order_id': 1074, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 1075, 'Product_id': 33, 'Product_name': 'câmera fotográfica'}, {'Order_id': 1077, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 1078, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 1079, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 1080, 'Product_id': 64, 'Product_name': 'heineken'}]"
Taís Machado,2,"[{'Order_id': 1081, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 1082, 'Product_id': 49, 'Product_name': 'whisky'}]"
Fabiana Nazário de Salles,3,"[{'Order_id': 1083, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 1084, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 1085, 'Product_id': 70, 'Product_name': 'leite ninho'}]"
Beatriz Ito,5,"[{'Order_id': 1086, 'Product_id': 37, 'Product_name': 'moto g9 plus'}, {'Order_id': 1087, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 1088, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 1089, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 1091, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Antônio Vaz,2,"[{'Order_id': 1092, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 1093, 'Product_id': 9, 'Product_name': 'fluke'}]"
Carlos Damasceno,1,"[{'Order_id': 1094, 'Product_id': 63, 'Product_name': 'cafeteira'}]"
Carlos Quadros,5,"[{'Order_id': 1097, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 1098, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 1099, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 1100, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 1101, 'Product_id': 48, 'Product_name': 'cerveja'}]"
Valdomiro Fraga Lobo,4,"[{'Order_id': 1102, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 1103, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 1104, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 1105, 'Product_id': 58, 'Product_name': 'espumante'}]"
Janaína Braga Pacheco,4,"[{'Order_id': 1106, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 1107, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 1108, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 1110, 'Product_id': 63, 'Product_name': 'cafeteira'}]"
Nicole Cavalcanti da Cunha,4,"[{'Order_id': 1113, 'Product_id': 11, 'Product_name': 'kabel'}, {'Order_id': 1115, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 1116, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 1117, 'Product_id': 42, 'Product_name': 'papel de parede branco'}]"
Elaine Silveira,2,"[{'Order_id': 1119, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 1120, 'Product_id': 17, 'Product_name': 'bateria carro'}]"
Janaína Nazário Vargas,2,"[{'Order_id': 1121, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 1122, 'Product_id': 64, 'Product_name': 'heineken'}]"
Isabela Arruda,1,"[{'Order_id': 1123, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Gilmar Lima,5,"[{'Order_id': 1124, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 1125, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 1126, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 1127, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 1128, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Poliane da Cunha,2,"[{'Order_id': 1130, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1131, 'Product_id': 21, 'Product_name': 'camera'}]"
Nicolas Braga Vaz,6,"[{'Order_id': 1132, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 1133, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 1134, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 1136, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 1137, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 1138, 'Product_id': 22, 'Product_name': 'câmera'}]"
Antônio Assis,4,"[{'Order_id': 1139, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 1140, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1141, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 1142, 'Product_id': 20, 'Product_name': 'led rgb'}]"
Poliane Ito,2,"[{'Order_id': 1143, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 1144, 'Product_id': 3, 'Product_name': 'batteries'}]"
Fabiana Silveira,1,"[{'Order_id': 1145, 'Product_id': 54, 'Product_name': 'vodka'}]"
Nicole Machado Medeiros,3,"[{'Order_id': 1146, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1147, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 1148, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Poliane Lima,6,"[{'Order_id': 1149, 'Product_id': 21, 'Product_name': 'camera'}, {'Order_id': 1150, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 1152, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 1153, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1154, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 1155, 'Product_id': 19, 'Product_name': 'bateria de carro'}]"
Antônio Braz Carmo,4,"[{'Order_id': 1156, 'Product_id': 32, 'Product_name': 'instax mini'}, {'Order_id': 1157, 'Product_id': 57, 'Product_name': 'dolce gusto'}, {'Order_id': 1158, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 1159, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Adriano Quadros,1,"[{'Order_id': 1161, 'Product_id': 54, 'Product_name': 'vodka'}]"
Carina Vaz Simões,6,"[{'Order_id': 1164, 'Product_id': 37, 'Product_name': 'moto g9 plus'}, {'Order_id': 1166, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 1167, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 1168, 'Product_id': 46, 'Product_name': 'vinho'}, {'Order_id': 1169, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1170, 'Product_id': 39, 'Product_name': 'moto g10 plus'}]"
Nicolas Medeiros Ito,6,"[{'Order_id': 1171, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 1173, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 1174, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 1175, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 1176, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 1177, 'Product_id': 55, 'Product_name': 'mercado livre'}]"
Valdomiro Ito Leal,2,"[{'Order_id': 1178, 'Product_id': 39, 'Product_name': 'moto g10 plus'}, {'Order_id': 1180, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}]"
Antônio Braga Braz,2,"[{'Order_id': 1182, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 1183, 'Product_id': 39, 'Product_name': 'moto g10 plus'}]"
Adriano Quadros,1,"[{'Order_id': 1186, 'Product_id': 22, 'Product_name': 'câmera'}]"
Kléber Oliveira,2,"[{'Order_id': 1187, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1188, 'Product_id': 31, 'Product_name': 'camera polaroid'}]"
Carlos Monteiro Carmo,4,"[{'Order_id': 1189, 'Product_id': 37, 'Product_name': 'moto g9 plus'}, {'Order_id': 1190, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 1191, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 1192, 'Product_id': 64, 'Product_name': 'heineken'}]"
Gilmar Medeiros,3,"[{'Order_id': 1194, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 1195, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 1196, 'Product_id': 49, 'Product_name': 'whisky'}]"
Gilmar Vargas,3,"[{'Order_id': 1197, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 1198, 'Product_id': 11, 'Product_name': 'kabel'}, {'Order_id': 1199, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Valdomiro Quadros Damasceno,3,"[{'Order_id': 1201, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 1202, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1204, 'Product_id': 12, 'Product_name': 'multimeter'}]"
Beatriz Lopes,4,"[{'Order_id': 1205, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 1206, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 1207, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 1208, 'Product_id': 27, 'Product_name': 'camera canon'}]"
Janaína Silveira,3,"[{'Order_id': 1209, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 1210, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1211, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}]"
Carina Falcão,5,"[{'Order_id': 1214, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 1215, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1216, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 1217, 'Product_id': 54, 'Product_name': 'vodka'}, {'Order_id': 1219, 'Product_id': 56, 'Product_name': 'malbec'}]"
Elaine Falcão,1,"[{'Order_id': 1220, 'Product_id': 21, 'Product_name': 'camera'}]"
Carlos de Salles Braga,4,"[{'Order_id': 1221, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 1222, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 1223, 'Product_id': 11, 'Product_name': 'kabel'}, {'Order_id': 1224, 'Product_id': 6, 'Product_name': 'battery charger'}]"
Fernando Vargas,1,"[{'Order_id': 1225, 'Product_id': 14, 'Product_name': 'carregador iphone'}]"
Valdomiro Vargas,2,"[{'Order_id': 1227, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 1228, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Heloísa Cavalcanti da Silva,3,"[{'Order_id': 1229, 'Product_id': 63, 'Product_name': 'cafeteira'}, {'Order_id': 1230, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 1233, 'Product_id': 67, 'Product_name': 'cortina para sala'}]"
Janaína Lima,3,"[{'Order_id': 1234, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 1235, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 1236, 'Product_id': 21, 'Product_name': 'camera'}]"
Nicole Carmo Braga,7,"[{'Order_id': 1237, 'Product_id': 34, 'Product_name': 'papel de parede cinza'}, {'Order_id': 1238, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 1239, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1240, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 1241, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 1242, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 1243, 'Product_id': 53, 'Product_name': 'jack daniels'}]"
Taís Braz,1,"[{'Order_id': 1244, 'Product_id': 2, 'Product_name': 'bateria'}]"
Kléber Damasceno,6,"[{'Order_id': 1245, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 1246, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 1247, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 1248, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 1249, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 1250, 'Product_id': 26, 'Product_name': 'nikon'}]"
Adriano Carmo,3,"[{'Order_id': 1251, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 1252, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1254, 'Product_id': 48, 'Product_name': 'cerveja'}]"
Janaína Simões Ito,3,"[{'Order_id': 1255, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 1256, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 1257, 'Product_id': 9, 'Product_name': 'fluke'}]"
Beatriz Machado,6,"[{'Order_id': 1260, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 1261, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 1262, 'Product_id': 51, 'Product_name': 'queijo'}, {'Order_id': 1263, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 1265, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 1266, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Beatriz Paschoal Lopes,2,"[{'Order_id': 1267, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 1268, 'Product_id': 39, 'Product_name': 'moto g10 plus'}]"
Nicolas Barroso de Salles,4,"[{'Order_id': 1269, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 1270, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 1272, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 1273, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Nicole Paschoal Medeiros,2,"[{'Order_id': 1275, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 1276, 'Product_id': 58, 'Product_name': 'espumante'}]"
Fernando Farias,6,"[{'Order_id': 1277, 'Product_id': 56, 'Product_name': 'malbec'}, {'Order_id': 1278, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 1279, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 1280, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 1281, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 1282, 'Product_id': 22, 'Product_name': 'câmera'}]"
Rafael Velho Silveira,1,"[{'Order_id': 1283, 'Product_id': 52, 'Product_name': 'bebedouro'}]"
